Date,Real_GDP,Real_Private_Consumption,Real_Government_Consumption,Real_Investment,Real_Exports,Real_Imports,Population
2000-01-01,1012908548.9,627061835.4,70404080.7,246110850.2,178102474.3,148270649.0,216077790.0
2000-04-01,1007085097.4,638590166.8,71325097.7,268089949.1,205670313.1,160900982.4,216832818.0
2000-07-01,1031621787.4,637339229.6,71942504.6,274181594.1,212275812.2,192159570.5,217587846.0
2000-10-01,1061287238.5,643440117.3,73047402.7,283717658.3,218841829.8,237166047.8,218342874.0
2001-01-01,1053724548.7,648801720.9,74656611.1,292252078.8,211900369.3,206495720.4,219097902.0
2001-04-01,1064503041.7,655332051.1,76038165.4,297938319.4,212782662.7,212201255.8,219845550.25
2001-07-01,1064723806.5,662548295.5,77743342.2,273451843.7,200475950.8,181480336.5,220593198.5
2001-10-01,1079803504.2,668725062.5,79967525.5,278063567.9,194987329.1,169188095.9,221340846.75
2002-01-01,1092967373.4,675684500.2,83111699.2,284791560.0,200945229.9,177455670.5,222088495.0
2002-04-01,1107016689.4,681635322.1,85630889.9,294014158.6,200003461.1,178999767.6,222828373.25
2002-07-01,1121225595.6,686468286.9,88829850.3,303355174.5,205226316.3,186902557.7,223568251.5
2002-10-01,1133346850.7,692708504.3,90905787.9,313141525.3,203990694.1,193313587.2,224308129.75
2003-01-01,1148138310.8,698573787.3,91865825.9,289849373.7,214146218.2,186275044.8,225048008.0
2003-04-01,1161156638.7,705446067.2,94765506.3,295219061.9,219464920.8,178650684.1,225767668.25
2003-07-01,1173320795.6,712719244.4,97537033.1,304198412.0,210332904.6,187173311.2,226487328.5
2003-10-01,1184885007.8,726286409.4,99274988.0,313211241.8,213911088.7,196092124.5,227206988.75
2004-01-01,1198807260.6,737630503.0,101359571.7,322914588.7,221253040.6,219407449.0,227926649.0
2004-04-01,1213143896.8,742824012.4,100674398.9,333347591.6,232159642.8,225720260.6,228662899.25
2004-07-01,1227905795.3,748311787.3,98985856.6,357258452.0,257374950.5,245340638.1,229399149.5
2004-10-01,1262459879.8,755477055.1,97724420.5,365520935.3,263120890.0,257140393.6,230135399.75
2005-01-01,1272698656.9,763611575.8,97388090.0,374402747.3,270092851.9,268195402.7,230871650.0
2005-04-01,1287273733.3,771394960.2,96108300.3,386160790.7,274309119.4,279000767.3,231641650.5
2005-07-01,1301458227.9,780436992.6,115347599.2,393661092.5,288993096.2,288881871.8,232411651.0
2005-10-01,1319954094.9,786777880.2,116358219.4,374954981.4,302195050.4,279910896.6,233181651.5
2006-01-01,1337393578.3,787029553.9,114904966.6,381645836.6,301704743.0,281200638.9,233951652.0
2006-04-01,1354469278.2,795653746.7,116800611.9,389964375.7,305499256.0,304816723.0,234729323.25
2006-07-01,1376301897.3,803827059.8,116464936.5,395979510.5,313740683.2,320226466.0,235506994.5
2006-10-01,1398245434.2,814153640.5,117895457.6,401300709.5,321453705.7,305526752.9,236284665.75
2007-01-01,1420985934.2,823357924.2,119066270.4,409871941.5,327487058.9,305116959.2,237062337.0
2007-04-01,1444669538.6,834057199.3,120311252.6,421378443.5,336773674.6,324706458.3,237836228.5
2007-07-01,1467445669.0,845610326.3,121495969.2,433392453.7,337847515.0,342568857.6,238610120.0
2007-10-01,1480153989.0,857887505.8,123340361.4,450529467.9,346428027.3,349216273.0,239384011.5
2008-01-01,1513071211.2,869208006.0,134053510.0,469261109.5,381499312.3,375345170.4,240157903.0
2008-04-01,1535483757.5,880483897.8,130637615.4,477217795.8,374735364.7,373200970.2,240923434.25
2008-07-01,1555822432.3,889771759.5,138178177.1,482939767.6,366375712.6,361480786.7,241688965.5
2008-10-01,1558469599.0,900792656.2,131839871.7,489621191.2,354488166.4,343776284.8,242454496.75
2009-01-01,1579736481.2,912485762.7,150310919.4,493338596.6,341445889.1,323738244.3,243220028.0
2009-04-01,1599686188.7,921303714.4,147651363.3,494556171.7,354302800.3,320599583.5,243991351.5
2009-07-01,1624635349.7,931632949.7,140613054.8,501248031.0,368303978.1,330650105.1,244762675.0
2009-10-01,1648551780.5,941550207.7,155858663.6,505216912.4,382830899.1,343984811.8,245533998.5
2010-01-01,1675172557.0,951153544.8,144679966.6,514500739.2,403612987.3,365473334.3,246305322.0
2010-04-01,1703433185.8,962040949.6,147279693.8,527650656.5,404901214.9,378463115.4,247096499.5
2010-07-01,1728907813.1,965860559.3,161277015.3,536620562.4,413552872.6,387156504.6,247887677.0
2010-10-01,1756619544.1,979766718.1,164941314.3,549068723.9,445850750.7,406626818.5,248678854.5
2011-01-01,1782182595.6,992750203.2,157363106.4,562380421.8,454396576.5,420203996.8,249470032.0
2011-04-01,1807970614.5,1006631199.8,157380353.3,572131769.3,479241510.7,430412968.7,250277155.25
2011-07-01,1835409706.8,1020539755.1,167790132.0,584052992.1,494177314.0,457903885.6,251084278.5
2011-10-01,1862072383.1,1034157736.7,169758098.4,597793920.9,486452540.2,460301022.7,251891401.75
2012-01-01,1890327515.5,1047832101.0,167959720.4,611625618.3,486705840.8,468140678.0,252698525.0
2012-04-01,1918317446.2,1062466456.5,180558544.7,626320636.3,486946475.9,484899063.8,253487010.5
2012-07-01,1945632295.8,1076661800.7,163501646.4,639470776.4,486175780.4,468704922.2,254275496.0
2012-10-01,1972806142.5,1090745857.2,169799088.5,650311759.5,485235605.8,488554857.0,255063981.5
2013-01-01,1999867862.7,1105713955.5,173241204.1,654743924.2,497833022.1,479289320.3,255852467.0
2013-04-01,2026008935.3,1119956670.2,186621531.5,660235240.6,503154060.2,486980176.2,256608700.0
2013-07-01,2052231834.9,1135581696.3,183774958.5,666876887.9,499562700.3,493401140.6,257364933.0
2013-10-01,2078389167.2,1150782587.8,184174385.9,672518984.0,525563898.4,486196686.9,258121166.0
2014-01-01,2103242353.3,1166235972.2,183022847.4,681798377.2,511382234.1,499002866.6,258877399.0
2014-04-01,2128987700.5,1181062083.9,182572140.5,690289668.5,511350027.3,498460766.1,259607861.5
2014-07-01,2154020904.1,1194378364.7,184650545.5,696576511.9,515139886.3,493288698.1,260338324.0
2014-10-01,2178615642.0,1208762022.4,186037576.5,703806209.5,510014953.3,496361588.6,261068786.5
2015-01-01,2205428638.1,1222705556.7,188373213.5,713720634.6,507852216.1,479008010.6,261799249.0
2015-04-01,2230976381.8,1236943340.2,188455706.2,723192200.6,503264351.7,467789964.5,262506291.25
2015-07-01,2258579199.3,1252755212.9,198291317.4,732630404.3,506043855.7,464182130.4,263213333.5
2015-10-01,2287532880.8,1268026550.5,200277752.9,741812743.4,487306561.6,451958845.6,263920375.75
2016-01-01,2314818296.5,1283884434.8,193308707.8,748901460.9,485995717.6,450851733.1,264627418.0
2016-04-01,2344644370.3,1299949831.8,198382717.4,755699447.2,497418531.1,458965817.9,265307228.0
2016-07-01,2373238785.4,1315958668.7,190644236.7,763605027.6,480425494.4,445178204.5,265987038.0
2016-10-01,2401911947.7,1331877304.7,191968858.1,773378741.0,507342895.2,463137407.0,266666848.0
2017-01-01,2432412007.9,1348295046.0,197259686.8,785378248.4,522532484.3,471216488.4,267346658.0
2017-04-01,2462033897.1,1364249663.9,194918543.8,800052631.7,523210090.7,473414447.6,267997955.0
2017-07-01,2493343946.0,1381428663.9,197535300.9,814341954.9,548082743.7,503043942.0,268649252.0
2017-10-01,2525138248.9,1398319620.0,201042868.5,828990172.4,552739198.1,517144290.8,269300549.0
2018-01-01,2557067719.8,1415461331.6,202649006.9,843211528.9,564358735.7,543262718.9,269951846.0
2018-04-01,2589853860.1,1434430176.4,205530399.8,855179192.5,570959992.1,551848008.3,270586229.75
2018-07-01,2622737460.5,1451933809.7,209552293.4,867371501.6,575577686.1,558100983.7,271220613.5
2018-10-01,2656192859.6,1472600793.9,211144879.9,878548028.4,575498479.3,550058229.4,271854997.25
2019-01-01,2689375112.4,1494407366.6,211878893.3,889028495.4,567812316.4,524336346.6,272489381.0
2019-04-01,2722616908.9,1515515702.3,221483835.2,897322988.3,563080257.1,512306854.0,273070752.25
2019-07-01,2754072774.5,1522417310.6,210180365.5,904868147.4,574861098.5,511006859.8,273652123.5
2019-10-01,2783090604.2,1540086494.9,212419905.9,906444494.4,569734586.4,498594141.8,274233494.75
2020-01-01,2765766066.6,1536879701.9,218819474.2,899363485.8,563983637.0,470374802.5,274814866.0
2020-04-01,2577176022.7,1435567711.4,207533172.9,818814924.3,476973495.3,386599744.9,275300662.75
2020-07-01,2660518545.4,1462018427.1,230166184.7,842984678.0,508188282.7,401577946.0,275786459.5
2020-10-01,2719538665.3,1476064068.8,217626738.3,858018518.9,534796433.3,427451296.6,276272256.25
2021-01-01,2747386950.5,1492362813.2,224320831.4,875398875.7,577415356.3,485433658.5,276758053.0
2021-04-01,2761746203.8,1506413253.8,224916177.2,883933583.1,602420487.1,513588036.4,277276172.0
2021-07-01,2768068745.1,1493942825.4,232336474.8,888628685.1,621759323.7,527381984.4,277794291.0
2021-10-01,2842857800.5,1536354879.7,229746223.4,901257658.1,657253888.2,578713383.1,278312410.0
2022-01-01,2876278883.1,1554539055.8,209041279.7,912110685.2,672458405.0,581732286.1,278830529.0
2022-04-01,2909986201.9,1574244208.5,214170722.4,917273319.7,715706549.7,601628382.3,279420413.5
2022-07-01,2943232687.7,1587239439.8,227776863.1,924853780.0,737351100.7,633134514.2,280010298.0
2022-10-01,2980725427.2,1611824823.5,220037516.9,932335965.0,732441951.3,604298595.4,280600182.5
2023-01-01,3016871929.9,1627430851.4,214342906.8,939769492.4,737293363.1,605533169.4,281190067.0
2023-04-01,3056593500.7,1651349309.8,235848610.9,951022434.6,713228247.7,592091127.2,281764533.0
2023-07-01,3094933476.5,1670848168.8,220427719.3,961479782.8,718552951.9,587528565.4,282338999.0
2023-10-01,3133053692.8,1691014003.6,226679799.0,972950328.2,738198348.0,605529626.2,282913465.0
2024-01-01,3173046610.0,1714324435.6,253514415.4,985059548.1,749994584.9,624297008.4,283487931.0
2024-04-01,3209381173.7,1733324302.2,238612827.7,993599273.6,766268749.9,631018166.8,283487931.0
2024-07-01,3249343102.1,1755769349.0,229649211.2,1006306756.5,783831109.0,662976556.8,283487931.0
2024-10-01,3288761514.2,1776618167.8,234846857.4,1016727722.0,806379638.5,667179957.7,283487931.0
2025-01-01,3328465246.3,1796670117.4,247722102.5,1027145318.1,813497212.8,657502341.4,283487931.0
2025-04-01,3372887814.5,1821214020.1,,1044457519.2,832264484.9,685557382.3,283487931.0
2025-07-01,3416222982.6,1843005423.3,,1059563833.1,843109160.9,675095197.5,283487931.0
2025-10-01,3462948656.6,1866936965.6,,1074229924.0,836124373.2,690619601.8,283487931.0
2026-01-01,3510282996.2,1891317337.3,,1089381387.3,824652254.0,691650406.9,283487931.0
